ita_id;id_ras_activity_data;ita_t;ita_micro;ita_mili ;ita_x;ita_y;ita_z;ita_is_calibration_data
18048546;3799;1,69564E+12;287932472;1416;1.0795479;0.73433673;1.6948773;false
18049231;3799;1,69564E+12;234798076;1416;0.13084184;-0.048847396;0.044070043;true
18048547;3799;1,69564E+12;287949139;1433;1.4199263;0.9991458;1.6338973;false
18049232;3799;1,69564E+12;234814743;1433;0.10846075;-0.06395693;0.027893528;true
18048548;3799;1,69564E+12;287965806;1450;1.0523889;0.7303296;1.2950119;false
18049233;3799;1,69564E+12;234831410;1450;0.17928973;-0.040651426;0.055804193;true
18048549;3799;1,69564E+12;287982473;1466;1.5406444;1.5613968;2.1969147;false
18049234;3799;1,69564E+12;234848077;1466;0.090503484;-0.067227535;0.041075353;true
18048550;3799;1,69564E+12;287999140;1483;2.8469431;2.35253;2.884915;false
18049235;3799;1,69564E+12;234864744;1483;0.14443435;-0.061641995;0.06259713;true
18048551;3799;1,69564E+12;288015807;1500;3.1421087;2.1717992;2.2703047;false
18049236;3799;1,69564E+12;234881411;1500;0.1928105;-0.02757717;0.06371819;true
18048552;3799;1,69564E+12;288032474;1516;3.0012763;1.5473583;0.94192314;false
18049237;3799;1,69564E+12;234898078;1516;0.03676096;-0.054517843;0.06023743;true
18048553;3799;1,69564E+12;288049141;1533;3.5097294;1.1850746;0.3272485;false
18049238;3799;1,69564E+12;234914745;1533;0.011701865;-0.083254755;0.09683606;true
18048554;3799;1,69564E+12;288065808;1550;3.5564091;0.8881228;-0.93780035;false
18049239;3799;1,69564E+12;234931412;1550;-0.03163551;-0.07772489;0.103095844;true
18048555;3799;1,69564E+12;288082475;1566;2.2769978;0.85753405;-3.0714872;false
18049240;3799;1,69564E+12;234948079;1566;0.049144916;-0.026863348;0.11713267;true
18048556;3799;1,69564E+12;288099142;1583;1.7217942;0.1824036;-3.203942;false
18049241;3799;1,69564E+12;234964746;1583;0.039635304;-0.003501881;0.06726576;true
18048557;3799;1,69564E+12;288115809;1600;2.77893;0.17432731;-2.8329165;false
18049242;3799;1,69564E+12;234981413;1600;-0.090031505;-0.044095397;0.049497638;true
18048558;3799;1,69564E+12;288132476;1616;5.0438557;0.29743415;-3.4518442;false
18049243;3799;1,69564E+12;234998080;1616;0.017674483;0.018647876;0.09964844;true
